Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Latvia,LVA,2013385,81,,0.0,0.0,8.4,,29.0,90,76,1188,,34.8,2.1,0.0,2.8,,0.9,53,,99.8,74.0,103.4,98.3,98.4,16818
Lebanon,LBN,4467390,77,,741.0,1.6,9.1,4.2,35.4,80,20,1016,,,3.3,0.0,x,3.1,-0.4,28,99.9,89.6,61.2,93.2,78.6,100.0,15523
Lesotho,LSO,2074465,49,0.227,277.2,9.9,98.0,13.5,,85,424,227,,52.5,4.5,2.2,3.6,1.6,-0.4,49,17.0,75.8,4.6,59.2,29.6,81.3,1918
Liberia,LBR,4294077,41,0.459,364.3,36.1,71.1,20.4,,80,495,102,87.0,38.2,6.0,8.2,x,,-1.3,38,,42.9,3.8,56.4,16.8,74.6,627
Libya,LBY,6201521,78,,124.3,0.0,14.5,5.6,19.0,98,66,439,,,1.5,0.5,x,,-1.5,15,99.8,89.5,19.9,148.2,96.6,54.4,6017
Liechtenstein,LIE,36925,89,,0.0,0.0,,,,,,,,,1.3,0.0,x,,1.7,,,,89.4,103.9,,,89400
Lithuania,LTU,2956121,83,,0.0,0.0,4.9,,36.4,93,93,1426,,37.6,1.1,0.0,2.9,,0.8,57,,99.7,68.0,151.8,94.3,95.9,19125
Luxembourg,LUX,543202,88,,0.0,0.0,2.0,,27.8,96,10,6341,,30.8,1.3,0.0,0.8,,1.6,80,,,92.0,145.5,100.0,100.0,80559
Macedonia FYR,MKD,2107158,73,0.007,162.1,1.6,6.6,1.8,26.2,97,26,835,,43.6,4.5,0.0,3.4,3.5,-0.1,44,,97.4,63.1,108.2,91.4,99.4,10469
Madagascar,MDG,22924851,50,0.420,39.4,4.0,56.0,36.8,1.6,69,442,40,17.0,44.1,6.8,8.5,5.2,3.1,-1.1,28,17.4,64.5,2.1,39.1,13.9,49.6,944
Malawi,MWI,16362567,41,0.332,129.1,28.6,67.9,13.8,0.2,90,140,83,75.0,43.9,5.2,5.6,4.7,3.4,-0.6,37,8.7,61.3,4.4,27.8,10.3,85.0,851
Malaysia,MYS,29716965,77,,1.9,0.0,8.5,12.9,12.0,95,101,676,0.1,46.2,3.5,0.0,3.6,4.0,1.1,50,99.4,93.1,65.8,140.9,95.7,99.6,16240
Maldives,MDV,345023,70,0.008,301.5,3.3,9.9,17.8,16.0,98,65,771,,37.4,3.1,0.4,4.6,2.7,-0.3,,,98.4,38.9,172.8,98.7,98.6,8603
Mali,MLI,15301650,41,0.533,207.2,10.2,122.7,27.9,0.8,59,92,74,176.0,33.0,1.9,0.0,6.1,3.1,-0.8,28,,33.4,2.2,89.5,21.9,67.2,1128
Malta,MLT,423282,83,,0.0,0.0,6.1,,32.3,93,16,2548,,,2.0,0.0,2.6,,1.2,56,,92.4,70.0,128.7,100.0,100.0,25598
Marshall Islands,MHL,52634,,,3127.1,35.5,37.5,,4.4,78,1079,418,,,4.7,0.0,x,2.1,-1.6,,,,10.0,,76.2,94.5,2500
Mauritania,MRT,3889880,49,0.362,272.2,10.8,90.1,19.5,1.3,75,794,122,80.0,40.5,2.5,0.5,6.5,3.1,-0.9,30,,58.6,5.4,111.1,26.7,49.6,2008
Mauritius,MUS,1296303,77,,278.2,1.5,14.3,,,99,39,784,,,2.9,0.0,4.8,3.7,0.9,52,99.4,88.8,41.4,113.1,90.8,99.8,14962
Mexico,MEX,122332399,76,0.024,11.3,0.0,14.5,2.8,19.6,99,33,1062,0.0,47.2,2.8,0.0,1.9,3.0,0.3,34,,93.5,38.4,86.8,85.3,94.9,14653
Micronesia,FSM,103549,63,,2403.9,33.5,36.4,,1.8,91,270,489,,61.1,4.7,0.0,x,2.6,-0.6,,,,26.0,24.6,57.2,89.0,2200
Moldova Republic of,MDA,3559000,66,0.005,264.9,5.8,15.4,3.2,36.4,91,249,490,,33.0,4.4,0.0,2.9,2.5,-0.4,35,,99.0,43.4,115.9,86.7,96.5,3373
Mongolia,MNG,2839073,70,0.077,278.1,4.8,31.8,5.3,27.6,99,380,345,,36.5,5.7,5.8,x,3.0,-0.5,38,86.2,97.4,16.4,117.6,56.2,84.6,4770
Montenegro,MNE,621383,79,0.012,368.1,2.5,5.3,2.2,20.3,90,25,1019,,28.6,0.5,0.0,x,3.4,0.2,,,98.5,56.8,177.9,90.0,98.0,11545
Morocco,MAR,33008150,62,,88.6,1.6,30.4,3.1,6.2,99,140,340,,40.9,1.1,0.0,3.7,2.8,-0.1,37,98.9,67.1,55.0,119.7,75.4,83.6,5080
Mozambique,MOZ,25833752,39,0.390,163.0,14.6,87.2,18.3,0.3,82,553,66,80.0,45.7,5.6,7.6,6.2,4.2,-0.6,30,15.0,50.6,4.8,33.1,21.0,49.2,1090
Myanmar,MMR,53259018,52,,24.8,0.0,50.5,22.6,5.0,84,489,25,17.0,,5.5,3.9,x,2.2,-1.5,21,48.8,92.7,1.1,11.2,77.4,85.7,1325
Namibia,NAM,2303315,62,0.200,236.6,2.0,49.8,17.5,3.7,76,688,619,19.0,63.9,7.7,10.0,4.4,3.3,0.2,48,43.7,76.5,12.9,103.0,32.2,91.7,7451
Nauru,NRU,9378,,,7811.9,0.0,36.6,4.8,7.1,96,91,277,,,4.7,0.0,x,1.8,-0.6,,,,,65.6,,,5000
Nepal,NPL,27797457,54,0.197,61.0,4.0,39.7,29.1,,86,241,80,0.1,32.8,4.4,2.7,4.0,2.9,-0.9,31,76.3,57.4,11.1,52.8,36.7,88.1,1249
Netherlands,NLD,16804224,92,,0.0,0.0,4.0,,,96,8,5385,,,3.6,0.0,0.1,4.3,1.8,83,,,93.0,117.5,100.0,100.0,42023
New Zealand,NZL,4470800,91,,0.0,0.0,6.3,,27.4,92,10,3292,,,3.7,0.0,1.9,4.0,1.7,91,,,89.5,110.3,,100.0,28012
Nicaragua,NIC,6080478,61,0.088,203.5,5.1,23.5,5.7,,99,55,335,0.1,40.5,4.3,3.9,x,3.1,-0.8,28,72.1,78.0,13.5,89.8,52.1,85.0,3206
Niger,NER,17831270,34,0.584,144.3,13.5,104.2,37.9,0.2,73,166,44,154.0,34.6,3.9,2.1,5.7,2.9,-0.7,34,,28.7,1.4,32.4,9.0,52.3,771
Nigeria,NGA,173615345,50,0.239,21.7,0.4,117.4,26.7,4.0,42,161,161,151.0,48.8,3.5,0.5,7.6,3.9,-1.0,25,50.3,51.1,32.9,67.7,27.8,64.0,2582
Norway,NOR,5084190,94,,0.0,0.0,2.8,,41.6,94,10,5970,,25.8,1.6,0.0,1.3,4.1,1.9,86,,,95.0,115.5,100.0,100.0,53396
Oman,OMN,3632444,78,,0.0,0.0,11.4,8.6,20.5,99,18,810,,,2.7,0.0,1.2,,0.2,47,98.0,86.9,60.0,181.7,96.6,93.0,27567
Pakistan,PAK,182142594,54,0.237,35.9,0.9,85.5,31.6,8.1,83,376,91,1.0,30.0,5.6,5.6,6.4,3.4,-0.8,28,67.4,54.9,10.0,66.8,47.6,91.4,2786
Palau,PLW,20918,77,,2067.0,6.8,17.5,,13.8,91,65,1680,,,4.7,0.0,x,2.6,-0.6,,,,,82.6,100.0,95.3,8100
Palestine,PSE,4169506,69,,1443.3,18.3,21.8,,,,,,,35.5,7.3,8.9,x,2.7,-0.8,,,95.3,,71.2,94.3,81.8,2900
Panama,PAN,3864170,77,,41.8,0.1,17.9,3.9,,98,64,1260,0.1,51.9,4.0,1.9,x,3.3,0.3,35,88.1,94.1,45.2,186.7,73.2,94.3,14096
Papua New Guinea,PNG,7321262,49,,175.1,4.4,61.4,18.1,0.5,67,541,151,36.0,,4.7,0.0,x,2.3,-0.7,25,,62.4,2.3,37.8,18.7,39.7,2532
Paraguay,PRY,6802295,68,,30.7,0.4,21.9,3.4,,91,63,633,0.0,52.4,5.6,2.0,3.7,4.0,-0.9,24,97.4,93.9,27.1,101.7,79.7,93.8,6224
Peru,PER,30375603,74,0.043,33.1,0.2,16.7,4.5,9.2,94,121,555,0.1,48.1,4.1,1.2,3.7,3.6,-0.1,38,85.5,89.6,38.2,98.8,73.1,86.8,10062
Philippines,PHL,98393574,66,0.038,9.0,0.0,29.9,20.7,,85,461,203,0.1,43.0,3.9,2.2,1.5,3.6,0.1,36,83.3,95.4,36.2,106.8,74.3,91.8,4080
Poland,POL,38530725,83,,0.0,0.0,5.2,,20.7,98,28,1489,,32.7,1.5,0.0,1.8,3.3,0.7,60,,99.7,65.0,132.7,89.5,,20184
Portugal,PRT,10459806,82,,0.0,0.0,3.8,,,97,34,2400,,,2.0,0.0,0.4,4.0,1.2,62,,95.4,64.0,115.1,100.0,99.8,23363
Qatar,QAT,2168673,85,,0.0,0.0,8.2,,27.6,97,60,1805,,41.1,2.7,0.0,0.2,3.1,1.1,68,98.7,96.3,88.1,134.1,100.0,100.0,98948
Romania,ROU,19963581,78,,0.0,0.0,12.0,3.5,23.9,94,144,873,,27.4,1.9,0.0,1.9,3.3,-0.1,,,97.7,50.0,106.1,72.1,87.7,12493
Russian Federation,RUS,143499861,78,,0.0,0.0,10.1,,43.1,98,121,1474,,40.1,1.9,0.0,3.4,,-0.4,28,,99.7,53.3,183.5,70.5,97.0,16736
Rwanda,RWA,11776522,51,0.352,185.0,12.5,52.0,11.7,0.6,97,114,144,40.0,50.8,6.4,9.6,4.6,3.8,0.0,53,,65.9,8.0,50.5,63.8,70.7,1334
Saint Kitts and Nevis,KNA,54191,75,,694.9,3.1,10.2,,,95,5,1065,,,4.5,1.7,x,3.4,0.9,,,,79.3,156.4,87.3,98.3,15573
Saint Lucia,LCA,182273,71,,341.3,2.1,14.5,,,99,5,945,,,5.1,2.3,x,2.9,1.0,71,,,48.6,127.7,65.2,93.8,13099
Saint Vincent and the Grenadines,VCT,109373,72,,250.3,1.2,19.0,,,94,24,573,,,3.7,0.2,x,,0.9,62,,,47.5,123.9,76.1,95.1,11540
Samoa,WSM,190372,69,,1184.1,18.6,18.1,,4.8,85,30,308,,,2.7,0.0,x,3.2,0.1,,,98.8,12.9,,91.6,98.5,2252
Sao Tome and Principe,STP,192993,56,0.217,640.3,18.7,51.0,14.4,,92,159,144,8.0,50.8,3.6,0.6,x,,-0.7,42,,69.5,21.6,71.0,34.4,97.0,5988
Saudi Arabia,SAU,28828870,84,,0.0,0.0,15.5,5.3,9.4,98,17,1004,0.1,,1.7,0.0,1.5,,0.1,46,99.0,87.2,54.0,184.7,100.0,97.0,24411
Senegal,SEN,14133280,49,0.390,157.1,7.8,55.3,14.4,0.6,84,219,96,83.0,40.3,6.1,3.9,6.3,3.1,-0.5,41,53.5,49.7,19.2,87.5,51.9,74.1,1970
Serbia,SRB,7163976,74,0.001,346.0,3.0,6.6,1.8,21.1,87,31,1250,,29.6,5.5,0.0,x,3.0,-0.1,,,98.0,48.1,92.8,97.3,99.2,10409
Seychelles,SYC,89173,76,,630.3,3.6,14.2,,,98,39,1197,,65.8,4.8,1.1,x,3.3,0.3,54,,91.8,47.1,158.6,97.1,96.3,25357
Sierra Leone,SLE,6092075,37,0.405,156.5,12.9,160.6,21.3,0.2,80,1304,205,103.0,35.4,4.9,6.8,7.3,3.6,-1.1,30,,43.3,1.3,36.1,13.0,60.1,1132
Singapore,SGP,5399200,90,,0.0,0.0,2.8,,19.2,95,73,2881,,,3.1,0.0,1.7,4.5,2.1,86,100.0,95.9,74.2,153.4,100.0,100.0,59710
Slovakia,SVK,5414095,83,,0.0,0.0,7.2,,30.0,99,10,1977,,26.0,4.8,0.0,2.2,3.7,0.8,47,,,80.0,111.2,99.7,100.0,23304
Slovenia,SVN,2060484,87,,0.0,0.0,2.9,,25.4,95,9,2420,,31.2,3.2,0.0,2.3,4.7,1.0,57,,99.7,70.0,110.1,100.0,99.6,28843
Solomon Islands,SLB,561231,49,,1156.5,34.0,30.1,11.5,2.2,85,151,252,19.0,,5.1,2.5,x,2.4,-0.9,,,,7.0,53.3,28.8,80.5,3198
Somalia,SOM,10495583,,0.500,389.3,0.0,145.6,32.8,0.4,46,581,,65.0,,7.1,10.0,x,,-2.2,8,,,1.4,6.7,23.6,31.7,600
South Africa,ZAF,52981991,66,0.041,46.6,0.3,43.9,8.7,7.6,79,857,982,0.1,63.1,2.7,0.0,4.5,3.5,0.4,42,75.8,93.0,41.0,134.8,74.4,95.1,10970
South Sudan,SSD,11296173,,,272.5,16.4,99.2,,2.8,62,257,33,,45.5,5.7,6.4,x,,-1.5,14,,,,18.8,8.9,56.5,2134
Spain,ESP,46647421,87,,0.0,0.0,4.2,,39.6,97,17,3145,,34.7,3.3,0.0,0.6,4.1,1.1,59,,97.7,72.0,108.3,100.0,100.0,30478
Sri Lanka,LKA,20483000,75,,58.0,0.8,9.6,21.6,4.9,99,109,189,0.1,36.4,5.3,6.5,2.2,3.6,-0.2,37,76.6,91.2,18.3,95.8,92.3,93.8,5664
Sudan,SDN,37964306,47,,103.4,1.7,76.6,31.7,2.8,85,207,159,106.0,35.3,5.7,10.0,x,3.1,-1.5,11,35.9,71.9,21.0,60.5,23.6,55.5,2730
Suriname,SUR,539276,70,0.033,248.8,0.8,22.8,7.5,,73,58,521,1.0,,4.5,1.1,x,,0.0,36,,94.7,34.7,182.9,80.3,95.2,11751
Swaziland,SWZ,1249514,53,0.113,170.9,2.4,80.0,7.3,1.7,88,907,447,0.1,51.5,7.1,7.0,x,3.2,-0.4,39,,87.8,20.8,66.0,57.5,74.1,5301
Sweden,SWE,9592552,90,,0.0,0.0,3.0,,38.7,97,10,4158,,25.0,3.3,0.0,0.9,4.0,1.9,89,,,94.0,122.6,100.0,100.0,40705
Switzerland,CHE,8081482,92,,0.0,0.0,4.2,,40.8,92,7,6062,,33.7,1.7,0.0,0.5,4.7,1.8,85,,,85.2,135.3,100.0,100.0,44452
Syria,SYR,22845550,66,0.024,244.8,0.0,14.6,10.1,15.0,61,24,196,,35.8,2.8,0.3,3.8,3.2,-1.3,17,92.7,84.1,24.3,61.2,95.7,90.1,5100
Tajikistan,TJK,8207834,61,0.031,95.5,5.2,47.7,13.3,19.0,94,160,129,0.1,30.8,6.8,9.1,x,3.2,-1.1,22,,99.7,14.5,92.2,94.4,71.7,2079
Tanzania,TZA,49253126,49,0.335,107.0,10.2,51.8,16.2,0.1,97,176,109,84.0,37.6,6.4,9.9,6.9,3.6,-0.7,33,14.8,67.8,13.1,57.1,12.2,53.2,1610
Thailand,THA,67010502,72,0.004,-2.9,0.0,13.1,7.0,,98,159,385,0.1,39.4,4.1,0.6,5.2,3.1,0.2,35,87.7,93.5,26.5,120.3,93.4,95.8,9398
Timor-Leste,TLS,1178252,62,0.322,484.6,5.7,54.6,45.3,,62,758,80,108.0,31.9,6.0,7.9,x,2.5,-1.3,30,38.0,58.3,0.9,52.3,38.9,70.5,8701
Togo,TGO,6816982,47,0.260,117.9,7.2,84.7,20.5,0.5,72,104,75,88.0,39.3,4.5,3.4,7.0,1.3,-1.4,29,27.9,60.4,4.0,56.0,11.3,60.0,1048
Tonga,TON,105323,70,,1646.8,16.1,12.1,,5.6,95,26,270,,,4.7,0.0,x,2.7,-0.2,,,99.0,34.9,53.4,91.3,99.3,7344
Trinidad and Tobago,TTO,1341151,77,0.007,0.0,0.0,21.3,,11.8,85,28,1450,,,4.0,1.3,x,3.2,0.3,38,99.0,98.8,59.5,139.4,92.1,93.6,20019
Tunisia,TUN,10886500,72,0.006,178.5,2.3,15.2,3.3,12.2,96,41,686,,36.1,1.1,0.0,4.1,2.4,0.0,41,99.5,79.1,41.4,120.0,90.4,96.8,9389
Turkey,TUR,74932641,76,,91.4,0.4,19.2,3.5,17.1,98,23,1144,0.1,40.0,0.0,0.0,3.5,4.2,0.4,50,,94.1,45.1,90.8,91.2,99.7,14393
Turkmenistan,TKM,5240072,70,,14.7,0.1,55.2,,,99,99,209,0.0,,2.4,0.0,x,,-1.3,17,,99.6,7.2,76.5,99.1,71.1,7842
Tuvalu,TUV,9876,,,6789.2,42.3,29.2,1.6,10.9,98,377,433,,,4.7,0.0,x,,-0.7,,,,35.0,28.4,83.3,97.7,3253
Uganda,UGA,37578876,48,0.359,92.3,8.5,66.1,16.4,1.2,82,175,108,149.0,44.3,5.7,6.9,5.5,,-0.6,26,8.5,73.2,14.7,45.9,33.9,74.8,1385
Ukraine,UKR,45489600,73,0.002,35.2,0.4,10.0,0.9,35.2,79,137,562,,25.6,2.8,0.0,2.1,,-0.7,25,,99.7,33.7,132.1,94.3,98.0,7222
United Arab Emirates,ARE,9346129,83,,0.0,0.0,8.2,,19.3,94,2,1355,,,2.7,0.0,x,4.2,1.2,69,100.0,90.0,85.0,169.9,97.5,99.6,47729
United Kingdom,GBR,64097085,89,,0.0,0.0,4.6,,27.7,93,20,3495,,,1.7,0.0,1.1,4.2,1.5,76,,,87.0,130.8,100.0,100.0,36522
United States of America,USA,316128839,91,,0.0,0.0,6.9,1.3,24.2,92,5,8895,,40.8,0.7,0.0,0.0,3.8,1.5,73,,,81.0,98.2,100.0,99.2,48328
Uruguay,URY,3407062,79,,10.1,0.0,11.1,6.0,37.4,96,34,1438,,45.3,4.0,0.0,2.3,3.4,0.4,73,98.8,98.1,55.1,147.3,96.4,99.5,15112
Uzbekistan,UZB,30241100,66,0.013,15.6,0.5,42.5,4.4,25.4,99,135,221,0.0,36.7,3.7,0.3,x,4.0,-0.9,17,,99.4,36.5,72.2,100.0,87.3,3273
Vanuatu,VUT,252763,62,0.135,769.6,13.6,16.9,11.7,1.2,52,89,167,7.0,,2.9,0.7,x,2.9,-0.2,,,83.2,10.6,54.4,57.9,90.7,4844
Venezuela,VEN,30405207,76,,3.2,0.0,14.9,3.7,,87,52,628,0.1,44.8,3.2,0.0,7.7,2.8,-1.1,20,99.5,95.5,44.0,102.1,90.9,92.9,12568
Viet Nam,VNM,89708900,64,0.026,86.2,2.8,23.8,20.2,12.2,96,218,233,0.1,35.6,4.1,2.6,x,3.3,-0.3,31,97.6,93.4,39.5,149.4,75.0,95.0,3359
Yemen,YEM,24407381,50,0.191,98.7,2.3,51.3,43.1,2.0,71,70,118,3.0,37.7,6.4,6.9,3.9,1.6,-1.2,18,39.6,65.3,17.4,54.4,53.3,54.9,2307
Zambia,ZMB,14538640,56,0.318,138.4,4.7,87.4,14.9,,83,388,112,107.0,57.5,7.7,10.0,2.6,3.6,-0.5,38,18.5,61.4,13.5,75.8,42.8,63.3,1611
Zimbabwe,ZWE,14149648,49,0.181,145.5,8.7,88.5,10.1,0.6,90,433,,33.0,,6.9,8.9,x,4.0,-1.1,21,36.9,83.6,17.1,96.9,39.9,79.9,515
